file,line,pattern_kind,severity,bucket,code,suggested_replacement
src/components/SSEDebugPanel.tsx,251,assertion,low,ui-component,{typeof (entry.event as any)?.campaign_id === 'string' && (,Eliminate assertion via type guard or pre-normalized adapter
src/components/SSEDebugPanel.tsx,253,assertion,medium,ui-component,Campaign: {String((entry.event as any).campaign_id)},Eliminate assertion via type guard or pre-normalized adapter
src/components/campaigns/sections/CampaignDetailsSection.tsx,11,angle-cast,low,ui-component,control: Control<any>;,Switch to generics or unknown + refinement
src/components/campaigns/sections/KeywordTargetingSection.tsx,11,angle-cast,low,ui-component,control: Control<any>;,Switch to generics or unknown + refinement
src/components/campaigns/sections/PerformanceTuningSection.tsx,12,angle-cast,low,ui-component,control: Control<any>;,Switch to generics or unknown + refinement
src/components/campaigns/sections/PersonaAssignmentSection.tsx,19,angle-cast,low,ui-component,control: Control<any>;,Switch to generics or unknown + refinement
src/components/refactor/campaign/CohortComparisonPanel.tsx,383,assertion,low,ui-component,const launchRaw: any = (campaign as any).launchDate;,Eliminate assertion via type guard or pre-normalized adapter
src/components/refactor/campaign/CohortComparisonPanel.tsx,385,assertion,low,ui-component,const snapshots: any[] = Array.isArray((campaign as any).normalizedSnapshots) ? (campaign as any).normalizedSnapshots : [];,Eliminate assertion via type guard or pre-normalized adapter
src/components/refactor/campaign/EnhancedCampaignOverview.tsx,50,angle-cast,low,ui-component,"const [memoryStats, setMemoryStats] = useState<any>(null);",Switch to generics or unknown + refinement
src/components/refactor/campaign/MetricsDebugPanel.tsx,235,assertion,low,ui-component,<span>{(delta as any).metric || delta.key || 'Unknown'}</span>,Eliminate assertion via type guard or pre-normalized adapter
src/components/refactor/campaign/MetricsDebugPanel.tsx,240,assertion,low,ui-component,{delta.direction} {typeof (delta as any).magnitude === 'number' ? (delta as any).magnitude.toFixed(2) : ''},Eliminate assertion via type guard or pre-normalized adapter
src/components/refactor/campaign/MetricsDebugPanel.tsx,267,assertion,low,ui-component,"<span className=""font-mono"">{(mover as any).domain || mover.label || 'Unknown'}</span>",Eliminate assertion via type guard or pre-normalized adapter
src/components/refactor/campaign/MetricsDebugPanel.tsx,60,angle-cast,low,ui-component,"const [memoryStats, setMemoryStats] = useState<any>(null);",Switch to generics or unknown + refinement
src/components/refactor/campaign/MetricsDebugPanel.tsx,61,angle-cast,low,ui-component,"const [streamStats, setStreamStats] = useState<any>(null);",Switch to generics or unknown + refinement
src/components/refactor/campaign/MetricsDebugPanel.tsx,62,angle-cast,low,ui-component,"const [telemetryStats, setTelemetryStats] = useState<any>(null);",Switch to generics or unknown + refinement
src/hooks/useCampaignPhaseStream.ts,81,annotation,low,hooks,const handleSSEEvent = useCallback((event: any) => {,event: CampaignStreamEvent
src/hooks/useCampaignPipeline.ts,83,assertion,low,hooks,const overview = useAppSelector(overviewSel as any) as ReturnType<typeof overviewSel>;,Eliminate assertion via type guard or pre-normalized adapter
src/hooks/useCampaignPipeline.ts,84,assertion,low,hooks,const fullSequenceMode: boolean | undefined = (overview as any)?.mode?.autoAdvance ?? (overview as any)?.ui?.fullSequenceMode;,Eliminate assertion via type guard or pre-normalized adapter
src/hooks/useCampaignServerMetrics.ts,189,array,low,hooks,"function convertUiBucketsToClassification(uiBuckets: any[]): Record<string, number> {",uiBuckets: UIBucket[]
src/hooks/useClientTraceDebug.ts,276,annotation,low,hooks,"const endSpan = useCallback((finalStatus: 'completed' | 'error' = 'completed', error?: any) => {","Replace any with unknown and narrow, or introduce domain interface"
src/hooks/useEnhancedMetricsContext.tsx,29,annotation,low,hooks,aggregates: any;,aggregates: AggregatedMetrics
src/hooks/useEnhancedMetricsContext.tsx,30,annotation,low,hooks,classification: any;,classification: ClassificationSummary
src/hooks/useEnhancedMetricsContext.tsx,31,array,low,hooks,uiBuckets: any[];,uiBuckets: UIBucket[]
src/hooks/useEnhancedMetricsContext.tsx,63,array,low,hooks,recommendationGroups: any[];,recommendationGroups: RecommendationGroup[]
src/hooks/useMetricsContext.tsx,17,annotation,low,hooks,aggregates: any; // AggregateMetrics,aggregates: AggregatedMetrics
src/hooks/useMetricsContext.tsx,18,annotation,low,hooks,classification: any;,classification: ClassificationSummary
src/hooks/useMetricsContext.tsx,19,array,low,hooks,uiBuckets: any[];,uiBuckets: UIBucket[]
src/hooks/useMetricsContext.tsx,45,array,low,hooks,recommendations: any[]; // Recommendation[],recommendations: Recommendation[]
src/hooks/useSemanticSummaries.ts,372,annotation,low,hooks,items: Array<{ id: string; type: 'anomaly_cluster' | 'causal_delta'; data: any }>,"Replace any with unknown and narrow, or introduce domain interface"
src/hooks/useSemanticSummaries.ts,78,annotation,low,hooks,"const generateCacheKey = useCallback((type: string, data: any): string => {","Replace any with unknown and narrow, or introduce domain interface"
src/hooks/useWorkerMetricsFallback.ts,16,array,low,hooks,domains?: any[];,"Replace any with unknown and narrow, or introduce domain interface"
src/hooks/useWorkerMetricsFallback.ts,17,annotation,low,hooks,aggregates?: any;,aggregates: AggregatedMetrics
src/hooks/useWorkerMetricsFallback.ts,18,annotation,low,hooks,classifiedCounts?: any;,"Replace any with unknown and narrow, or introduce domain interface"
src/hooks/useWorkerMetricsFallback.ts,24,annotation,low,hooks,aggregates: any;,aggregates: AggregatedMetrics
src/hooks/useWorkerMetricsFallback.ts,25,annotation,low,hooks,classifiedCounts: any;,"Replace any with unknown and narrow, or introduce domain interface"
src/lib/security/csp.ts,276,assertion,low,infrastructure,(res as any).locals = (res as any).locals || {};,Eliminate assertion via type guard or pre-normalized adapter
src/lib/security/csp.ts,277,assertion,low,infrastructure,(res as any).locals.nonce = policy.generateNonce();,Eliminate assertion via type guard or pre-normalized adapter
src/lib/security/csp.ts,283,assertion,low,infrastructure,"try { (res as any).setHeader?.(key, value); } catch { /* noop */ }",Eliminate assertion via type guard or pre-normalized adapter
src/lib/utils/array-operations.ts,264,array,low,infrastructure,array: readonly any[],"Replace any with unknown and narrow, or introduce domain interface"
src/lib/utils/memoization.ts,118,array,low,infrastructure,"export function memoizeAsync<TArgs extends any[], TResult>(","Replace any with unknown and narrow, or introduce domain interface"
src/lib/utils/memoization.ts,250,array,low,infrastructure,"export function createSelector<TState, TResult, TDeps extends any[]>(","Replace any with unknown and narrow, or introduce domain interface"
src/lib/utils/memoization.ts,75,array,low,infrastructure,"export function memoize<TArgs extends any[], TResult>(","Replace any with unknown and narrow, or introduce domain interface"
src/lib/utils/typeGuards.ts,3,other,low,infrastructure,* Replaces unsafe `as any` casts with proper runtime type checking,Review manually
src/providers/RTKCampaignDataProvider.tsx,78,assertion,low,misc,const dataMsg = (data && (String((data as any).message) || String((data as any).error?.message))) || null;,Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/auditLogService.ts,326,assertion,low,analytics-service,impact.estimatedDataPoints = typeof (context as any)?.newValue === 'number' ? (context as any).newValue : 7; // Forecast horizon,Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/enhancedRecommendationService.ts,188,assertion,low,analytics-service,"confidence: typeof rec?.provenance?.confidence === 'number' ? rec.provenance.confidence : (typeof (rec as any)?.confidence === 'number' ? (rec as any).confidence : 0.9),",Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/enhancedRecommendationService.ts,191,assertion,low,analytics-service,reasoning: Array.isArray((rec as any)?.reasoning) ? (rec as any).reasoning as string[] : [],Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/enhancedRecommendationService.ts,232,assertion,low,analytics-service,"confidence: typeof rec?.provenance?.confidence === 'number' ? rec.provenance.confidence : (typeof (rec as any)?.confidence === 'number' ? (rec as any).confidence : 0.7),",Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/enhancedRecommendationService.ts,235,assertion,low,analytics-service,"reasoning: Array.isArray((rec as any)?.reasoning) ? (rec as any).reasoning as string[] : ['Generated by experimental ML model'],",Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/enhancedRecommendationService.ts,236,assertion,low,analytics-service,baselineComparison: (rec as any)?.baselineComparison as any,Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/enhancedRecommendationService.ts,497,array,low,analytics-service,private async fetchServerRecommendations(campaignId: string): Promise<any[]> {,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/enhancedRecommendationService.ts,513,assertion,low,analytics-service,const title = typeof (rec as any)?.title === 'string' ? (rec as any).title.toLowerCase() : '';,Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/enhancedRecommendationService.ts,524,assertion,low,analytics-service,const confidence = typeof (rec as any)?.confidence === 'number' ? (rec as any).confidence : 0;,Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/enhancedRecommendationService.ts,538,assertion,low,analytics-service,"quickAction: typeof (rec as any)?.detail === 'string' ? (rec as any).detail : undefined,",Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/enhancedSecurityHardeningService.ts,550,assertion,low,analytics-service,const schemaAny: any = schema as any;,Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/enhancedSecurityHardeningService.ts,561,assertion,low,analytics-service,if (!(data && typeof data === 'object' && field in (data as any))) {,Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/exportService.ts,397,annotation,low,analytics-service,arms: optionsV6.experimentsData.arms?.map((a: any) => ({,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/exportService.ts,403,annotation,low,analytics-service,decisions: optionsV6.experimentsData.decisions?.map((d: any) => ({,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/exportService.ts,409,assertion,low,analytics-service,const rs: any = (optionsV6.experimentsData as any).rewardsSummary || {};,Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/exportService.ts,423,annotation,low,analytics-service,anomalies: (optionsV6.semanticSummariesData.anomalies || []).map((a: any) => ({,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/exportService.ts,429,annotation,low,analytics-service,causalDeltas: (optionsV6.semanticSummariesData.causalDeltas || []).map((c: any) => ({,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/exportService.ts,446,annotation,low,analytics-service,spans: (optionsV6.perfTracesData.spans || []).map((s: any) => ({,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/exportV5EvolutionService.ts,12,array,low,analytics-service,// Generated API client model types replacing previous any[] placeholders,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/mlRecommendationsService.ts,144,assertion,low,analytics-service,const e = r.explainability as any;,Eliminate assertion via type guard or pre-normalized adapter
src/services/campaignMetrics/normalizationService.ts,231,annotation,low,analytics-service,function validateBenchmarkData(data: any): data is BenchmarkMetrics {,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/offlineResilienceService.ts,41,annotation,medium,analytics-service,payload: any;,payload: TaskPayload
src/services/campaignMetrics/offlineResilienceService.ts,62,annotation,medium,analytics-service,payload: any;,payload: TaskPayload
src/services/campaignMetrics/offlineResilienceService.ts,649,annotation,low,analytics-service,private calculateChecksum(data: any): string {,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/offlineResilienceService.ts,663,annotation,low,analytics-service,private calculateContextHash(event: any): string {,event: CampaignStreamEvent
src/services/campaignMetrics/performanceGuardrailsService.ts,165,angle-cast,low,analytics-service,"private gcFriendlyCollections = new Map<string, GCFriendlyCollection<any>>();",Switch to generics or unknown + refinement
src/services/campaignMetrics/recommendationScoreService.ts,30,annotation,low,analytics-service,classification: any;,classification: ClassificationSummary
src/services/campaignMetrics/rootCauseAnalyticsService.ts,215,annotation,medium,analytics-service,evidence: (incompleteness.evidence || []).map((e: any) => ({,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/rootCauseAnalyticsService.ts,235,annotation,medium,analytics-service,evidence: (accuracy.evidence || []).map((e: any) => ({,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/rootCauseAnalyticsService.ts,526,array,medium,analytics-service,): { significance: number; direction: string; evidence: any[] } {,evidence: RootCauseEvidenceValue[]
src/services/campaignMetrics/rootCauseAnalyticsService.ts,553,array,medium,analytics-service,): { significance: number; evidence: any[] } {,evidence: RootCauseEvidenceValue[]
src/services/campaignMetrics/rootCauseAnalyticsService.ts,580,array,medium,analytics-service,): { score: number; evidence: any[] } {,evidence: RootCauseEvidenceValue[]
src/services/campaignMetrics/rootCauseAnalyticsService.ts,614,array,medium,analytics-service,private detectModelDrift(context: AnomalyContext): { score: number; evidence: any[] } {,evidence: RootCauseEvidenceValue[]
src/services/campaignMetrics/rootCauseAnalyticsService.ts,632,array,medium,analytics-service,private detectSeasonalEffects(context: AnomalyContext): { score: number; evidence: any[] } {,evidence: RootCauseEvidenceValue[]
src/services/campaignMetrics/rootCauseAnalyticsService.ts,738,annotation,low,analytics-service,template: any,"Replace any with unknown and narrow, or introduce domain interface"
src/services/campaignMetrics/securityHardeningService.ts,297,annotation,low,analytics-service,sanitizeMetricAggregates(aggregates: any): SanitizationResult<any> {,aggregates: AggregatedMetrics
